,method,index,value
0,retrain,1,0.6847
1,MUter,1,0.6846
2,Newton_delta,1,0.6845
3,Influence_delta,1,0.6846
4,Fisher_delta,1,0.6845
5,Newton,1,0.6846
6,Influence,1,0.6846
7,Fisher,1,0.6843
8,retrain,200,0.6831
9,MUter,200,0.6851
10,Newton_delta,200,0.6844
11,Influence_delta,200,0.6846
12,Fisher_delta,200,0.685
13,Newton,200,0.6848
14,Influence,200,0.6849
15,Fisher,200,0.6848
16,retrain,500,0.6838
17,MUter,500,0.684
18,Newton_delta,500,0.6823
19,Influence_delta,500,0.6825
20,Fisher_delta,500,0.6827
21,Newton,500,0.6815
22,Influence,500,0.6814
23,Fisher,500,0.682
24,retrain,1000,0.6837
25,MUter,1000,0.6834
26,Newton_delta,1000,0.6793
27,Influence_delta,1000,0.6805
28,Fisher_delta,1000,0.6794
29,Newton,1000,0.6789
30,Influence,1000,0.6787
31,Fisher,1000,0.6788
32,retrain,2000,0.684
33,MUter,2000,0.6842
34,Newton_delta,2000,0.6776
35,Influence_delta,2000,0.6776
36,Fisher_delta,2000,0.676
37,Newton,2000,0.6748
38,Influence,2000,0.675
39,Fisher,2000,0.6755
40,retrain,4000,0.6804
41,MUter,4000,0.6816
42,Newton_delta,4000,0.6661
43,Influence_delta,4000,0.6673
44,Fisher_delta,4000,0.6663
45,Newton,4000,0.6599
46,Influence,4000,0.6599
47,Fisher,4000,0.6623
48,retrain,1,0.6828
49,MUter,1,0.683
50,Newton_delta,1,0.683
51,Influence_delta,1,0.683
52,Fisher_delta,1,0.683
53,Newton,1,0.6831
54,Influence,1,0.683
55,Fisher,1,0.6829
56,retrain,200,0.6814
57,MUter,200,0.6841
58,Newton_delta,200,0.6845
59,Influence_delta,200,0.6844
60,Fisher_delta,200,0.6842
61,Newton,200,0.6829
62,Influence,200,0.6828
63,Fisher,200,0.6822
64,retrain,500,0.6823
65,MUter,500,0.6837
66,Newton_delta,500,0.6819
67,Influence_delta,500,0.682
68,Fisher_delta,500,0.6811
69,Newton,500,0.6811
70,Influence,500,0.6807
71,Fisher,500,0.6801
72,retrain,1000,0.685
73,MUter,1000,0.6857
74,Newton_delta,1000,0.6818
75,Influence_delta,1000,0.6817
76,Fisher_delta,1000,0.6818
77,Newton,1000,0.6785
78,Influence,1000,0.6791
79,Fisher,1000,0.6816
80,retrain,2000,0.6826
81,MUter,2000,0.6836
82,Newton_delta,2000,0.6756
83,Influence_delta,2000,0.6759
84,Fisher_delta,2000,0.6752
85,Newton,2000,0.6721
86,Influence,2000,0.6729
87,Fisher,2000,0.6739
88,retrain,4000,0.6825
89,MUter,4000,0.6826
90,Newton_delta,4000,0.6633
91,Influence_delta,4000,0.6648
92,Fisher_delta,4000,0.6642
93,Newton,4000,0.6584
94,Influence,4000,0.6597
95,Fisher,4000,0.661
96,retrain,1,0.6858
97,MUter,1,0.6858
98,Newton_delta,1,0.6858
99,Influence_delta,1,0.6858
100,Fisher_delta,1,0.686
101,Newton,1,0.6859
102,Influence,1,0.6858
103,Fisher,1,0.6859
104,retrain,200,0.6821
105,MUter,200,0.6854
106,Newton_delta,200,0.6824
107,Influence_delta,200,0.683
108,Fisher_delta,200,0.6827
109,Newton,200,0.6831
110,Influence,200,0.683
111,Fisher,200,0.6823
112,retrain,500,0.6859
113,MUter,500,0.6856
114,Newton_delta,500,0.6831
115,Influence_delta,500,0.6828
116,Fisher_delta,500,0.6834
117,Newton,500,0.6835
118,Influence,500,0.6828
119,Fisher,500,0.6828
120,retrain,1000,0.6835
121,MUter,1000,0.6833
122,Newton_delta,1000,0.6812
123,Influence_delta,1000,0.68
124,Fisher_delta,1000,0.6814
125,Newton,1000,0.679
126,Influence,1000,0.6796
127,Fisher,1000,0.6793
128,retrain,2000,0.6807
129,MUter,2000,0.6831
130,Newton_delta,2000,0.6746
131,Influence_delta,2000,0.6753
132,Fisher_delta,2000,0.6753
133,Newton,2000,0.6735
134,Influence,2000,0.6734
135,Fisher,2000,0.6726
136,retrain,4000,0.683
137,MUter,4000,0.6839
138,Newton_delta,4000,0.6679
139,Influence_delta,4000,0.6685
140,Fisher_delta,4000,0.6677
141,Newton,4000,0.6594
142,Influence,4000,0.6618
143,Fisher,4000,0.6621
